project_id,final_cost,actual_completion_date,final_overrun_ratio,final_delay_days,cost_overrun_label,delay_label
P0317,668.12,2026-06-01,0.0831,0,0,0
P0318,1216.89,2027-12-20,0.0294,19,0,0
P0319,2033.44,2027-01-16,0.0833,46,0,1
P0320,4233.38,2026-12-31,0.0292,30,0,0
P0321,3567.54,2028-06-21,0.1913,20,1,0
P0322,3009.39,2025-12-19,0.3461,79,1,1
P0323,3476.99,2028-10-10,0.4325,314,1,1
P0324,3955.31,2026-11-11,-0.0027,41,0,1
P0325,5076.57,2027-07-01,0.0361,0,0,0
P0326,2661.71,2026-10-01,0.2253,0,1,0
P0327,4190.02,2027-11-07,0.337,129,1,1
P0328,2252.69,2027-07-20,0.2194,110,1,1
P0329,571.25,2027-03-17,0.0366,44,0,1
P0330,3900.55,2026-06-04,0.0642,34,0,1
P0331,2036.55,2026-07-27,0.0243,26,0,0
P0332,1289.26,2027-07-04,0.1627,3,1,0
P0333,2024.51,2028-06-25,0.1515,55,1,1
P0334,2876.46,2028-03-07,0.2623,127,1,1
P0335,2874.68,2027-06-06,0.4358,125,1,1
P0336,4689.18,2026-11-13,0.2756,135,1,1
P0337,2302.14,2026-12-05,0.2018,34,1,1
P0338,5359.52,2027-01-03,0.1249,124,1,1
P0339,964.95,2027-03-27,0.146,54,1,1
P0340,4200.4,2027-10-28,-0.0186,27,0,0
P0341,4184.92,2027-08-18,-0.0109,17,0,0
P0342,3711.17,2027-08-01,0.0439,0,0,0
P0343,4483.73,2026-05-01,-0.0058,0,0,0
P0344,3411.06,2026-05-01,0.0398,0,0,0
P0345,5605.73,2027-05-28,0.2009,116,1,1
P0346,5335.99,2027-02-17,0.4715,169,1,1
P0347,1214.39,2028-07-17,0.139,107,1,1
P0348,5130.8,2027-07-28,0.4664,269,1,1
P0349,2717.01,2027-05-12,0.2157,192,1,1
P0350,5001.7,2027-01-15,0.0322,14,0,0
P0351,486.16,2027-12-24,0.1044,53,1,1
P0352,2718.72,2027-05-01,0.0878,61,0,1
P0353,1073.93,2027-04-22,0.0815,80,0,1
P0354,3160.7,2027-09-08,0.0867,7,0,0
P0355,3353.25,2027-08-21,0.1303,51,1,1
P0356,4775.85,2026-09-01,0.0657,0,0,0
P0357,3796.34,2026-10-01,0.0811,0,0,0
P0358,3171.31,2027-01-12,0.1524,11,1,0
P0359,636.71,2027-08-14,0.0139,13,0,0
P0360,1633.93,2025-12-23,0.2453,83,1,1
P0361,3627.63,2026-07-16,0.0118,15,0,0
P0362,3479.11,2026-01-11,0.1551,41,1,1
P0363,2481.92,2027-12-31,0.1619,213,1,1
P0364,5111.59,2027-08-09,0.1277,69,1,1
P0365,4094.65,2027-06-13,-0.0169,12,0,0
P0366,4710.46,2026-06-18,0.1146,48,1,1
P0367,1597.25,2026-02-26,-0.0114,25,0,0
P0368,2800.24,2028-05-01,0.1454,90,1,1
P0369,3687.0,2026-11-20,0.0769,19,0,0
P0370,1149.79,2027-05-09,0.0423,8,0,0
P0371,1895.38,2027-07-01,0.0519,0,0,0
P0372,4144.69,2026-04-01,0.006,0,0,0
P0373,4587.77,2027-05-26,0.1633,55,1,1
P0374,1886.62,2027-12-28,0.4601,88,1,1
P0375,4617.28,2026-05-05,0.1117,216,1,1
P0376,3173.11,2027-02-08,0.0156,69,0,1
P0377,4850.25,2026-08-12,0.0942,72,0,1
P0378,3310.81,2026-09-26,0.3138,148,1,1
P0379,5890.46,2027-01-05,0.5065,126,1,1
P0380,509.04,2027-03-11,0.079,130,0,1
P0381,670.41,2026-03-07,0.0539,65,0,1
P0382,408.56,2026-09-01,0.1817,0,1,0
P0383,1566.44,2026-12-05,0.0235,65,0,1
P0384,995.24,2027-02-14,0.2354,75,1,1
P0385,1099.6,2027-01-17,0.0389,47,0,1
P0386,1411.41,2026-11-08,0.0693,7,0,0
P0387,3048.41,2027-02-23,-0.0109,22,0,0
P0388,4566.8,2026-10-05,0.0347,4,0,0
P0389,2445.6,2027-08-10,0.4481,190,1,1
P0390,3050.66,2027-08-03,0.5457,124,1,1
P0391,1451.17,2027-01-20,0.0824,19,0,0
P0392,2260.46,2027-02-08,0.2046,69,1,1
P0393,2504.11,2027-09-16,0.2371,107,1,1
P0394,3100.87,2027-03-25,0.1842,83,1,1
P0395,3428.3,2026-11-04,0.1639,34,1,1
P0396,760.9,2026-11-01,-0.0037,0,0,0
P0397,4871.45,2028-06-17,0.0141,47,0,1
P0398,4008.1,2027-02-06,0.2048,158,1,1
P0399,2745.82,2027-09-06,-0.0162,5,0,0
P0400,3787.68,2027-12-16,0.4554,76,1,1
P0401,1677.21,2026-12-02,0.1316,62,1,1
P0402,4110.79,2027-01-01,0.0761,0,0,0
P0403,2322.15,2026-12-02,0.0485,62,0,1
P0404,3885.57,2026-10-05,0.1769,218,1,1
P0405,1392.11,2026-05-06,0.0502,35,0,1
P0406,1723.36,2027-01-10,0.2333,9,1,0
P0407,4282.95,2028-01-06,-0.0112,5,0,0
P0408,2216.67,2027-05-22,0.0254,21,0,0
P0409,5703.98,2027-07-13,0.4543,103,1,1
P0410,2109.84,2025-12-03,0.1822,32,1,1
P0411,5213.37,2027-06-09,0.4059,220,1,1
P0412,4702.37,2027-05-01,0.2065,0,1,0
P0413,2606.1,2026-09-27,0.1134,88,1,1
P0414,2998.91,2025-09-13,-0.0031,43,0,1
P0415,4149.72,2027-05-31,0.0625,30,0,0
P0416,2242.87,2026-07-06,0.2055,66,1,1
P0417,1180.06,2026-12-19,0.0612,18,0,0
P0418,3124.38,2027-08-29,0.0732,59,0,1
P0419,2253.45,2026-02-06,0.0647,5,0,0
P0420,983.46,2027-03-07,0.0987,126,0,1
P0421,1016.02,2027-01-07,0.0249,37,0,1
P0422,3817.08,2028-01-02,0.1668,154,1,1
P0423,6905.05,2026-07-02,0.4763,151,1,1
P0424,691.69,2027-08-28,0.102,88,1,1
P0425,3378.91,2027-06-29,0.3423,179,1,1
P0426,5237.06,2027-06-18,0.0796,17,0,0
P0427,1888.29,2026-10-16,0.264,137,1,1
P0428,4441.66,2026-08-04,0.17,34,1,1
P0429,4999.73,2026-07-17,0.0932,46,0,1
P0430,2475.46,2026-03-19,0.1187,46,1,1
P0431,4553.57,2025-10-12,0.0933,41,0,1
P0432,4808.65,2026-06-09,0.1447,39,1,1
P0433,431.18,2027-11-29,0.1805,59,1,1
P0434,3938.49,2027-11-21,0.2488,51,1,1
P0435,5046.48,2028-05-07,0.3146,96,1,1
P0436,2471.09,2026-12-30,0.1175,151,1,1
P0437,3759.79,2026-01-15,0.0384,75,0,1
P0438,3058.9,2026-12-01,0.0922,0,0,0
P0439,1003.09,2026-07-01,0.0443,0,0,0
P0440,1438.17,2027-01-09,0.3567,161,1,1
P0441,1521.57,2027-08-10,0.2146,70,1,1
P0442,2441.82,2027-10-21,0.2229,20,1,0
P0443,5444.33,2026-07-04,0.1805,64,1,1
P0444,2440.16,2026-12-17,-0.0195,16,0,0
P0445,3341.75,2026-09-05,0.3707,96,1,1
P0446,454.08,2027-05-04,0.0645,3,0,0
P0447,2434.52,2028-04-03,0.1765,185,1,1
P0448,1061.65,2027-07-03,0.2286,63,1,1
P0449,6570.16,2027-03-24,0.315,235,1,1
P0450,1177.79,2026-04-21,0.2036,20,1,0
P0451,5755.51,2026-04-04,0.4008,93,1,1
P0452,3181.02,2028-03-09,0.3373,99,1,1
P0453,4611.35,2026-03-08,0.0811,66,0,1
P0454,3255.99,2028-02-01,0.051,0,0,0
P0455,7172.31,2027-07-12,0.4547,223,1,1
P0456,5097.62,2027-02-17,0.1247,108,1,1
P0457,4147.06,2025-12-01,0.01,0,0,0
P0458,3881.54,2027-01-02,0.3138,215,1,1
P0459,4766.88,2026-09-26,0.1739,268,1,1
P0460,4443.77,2027-11-01,0.0985,0,0,0
P0461,4277.41,2026-09-28,0.0096,27,0,0
P0462,6464.15,2026-12-15,0.3279,197,1,1
P0463,5458.08,2025-12-01,0.1993,0,1,0
P0464,4204.43,2028-06-01,0.0582,0,0,0
P0465,5163.79,2025-10-13,0.2244,42,1,1
P0466,5463.71,2027-05-10,0.2722,129,1,1
P0467,1875.16,2027-12-09,0.1577,38,1,1
P0468,1395.4,2027-04-01,0.0452,0,0,0
P0469,5884.81,2027-10-06,0.3396,219,1,1
P0470,3953.47,2027-03-09,0.3841,220,1,1
P0471,1422.0,2027-11-01,0.0774,0,0,0
P0472,5027.72,2027-02-11,0.0295,10,0,0
P0473,4236.96,2027-12-15,0.0966,44,0,1
P0474,5138.2,2025-12-01,0.0725,0,0,0
P0475,3874.66,2028-08-18,0.1147,139,1,1
P0476,5047.19,2025-12-30,0.5069,59,1,1
P0477,3810.01,2026-03-19,0.0968,18,0,0
P0478,5063.05,2026-12-22,0.3535,324,1,1
P0479,2121.61,2028-01-01,0.1642,0,1,0
P0480,3988.88,2027-06-26,0.0772,176,0,1
P0481,2467.37,2025-08-17,0.0572,16,0,0
P0482,3645.36,2026-04-01,0.0588,0,0,0
P0483,5595.62,2028-04-03,0.3159,124,1,1
P0484,4744.0,2028-03-16,0.012,15,0,0
P0485,2592.49,2028-04-09,0.073,39,0,1
P0486,3304.42,2026-08-07,0.1525,98,1,1
P0487,3826.58,2026-06-17,0.0133,16,0,0
P0488,4885.56,2026-02-03,0.2112,94,1,1
P0489,1305.18,2027-03-29,0.2196,148,1,1
P0490,4889.84,2027-09-11,0.0855,41,0,1
P0491,840.03,2026-01-29,0.0778,28,0,0
P0492,2698.46,2026-08-01,0.0222,0,0,0
P0493,3768.36,2026-07-19,0.0225,18,0,0
P0494,700.53,2027-04-29,0.1022,87,1,1
P0495,1344.1,2028-01-01,0.0019,0,0,0
P0496,591.36,2026-08-01,0.2497,31,1,1
P0497,3178.2,2027-02-01,-0.0099,0,0,0
P0498,3088.98,2027-10-05,0.0384,34,0,1
P0499,648.66,2027-01-14,0.2382,74,1,1
P0500,1104.16,2027-12-27,0.3936,240,1,1
P0501,3635.21,2025-11-03,0.0516,2,0,0
P0502,2219.71,2027-03-01,0.209,0,1,0
P0503,1052.27,2025-07-01,0.0667,0,0,0
P0504,1301.85,2027-11-01,0.0916,0,0,0
P0505,1834.85,2028-04-11,0.0019,41,0,1
P0506,929.38,2027-01-22,0.0915,21,0,0
P0507,4654.84,2027-03-01,0.0183,0,0,0
P0508,4042.3,2027-07-14,0.0797,43,0,1
P0509,5070.44,2027-12-22,0.3132,174,1,1
P0510,2907.04,2027-10-05,0.2585,308,1,1
P0511,3276.29,2026-05-17,0.0625,16,0,0
P0512,3108.15,2027-08-10,0.2447,70,1,1
P0513,3008.55,2026-12-01,0.0612,0,0,0
P0514,4144.12,2027-05-08,0.19,96,1,1
P0515,3779.59,2027-08-17,0.0649,47,0,1
P0516,4488.7,2026-11-30,0.1594,60,1,1
P0517,3530.89,2027-02-07,0.0908,68,0,1
