project_id,project_name,sector,ministry,implementing_agency,start_date,planned_end_date,update_date,original_cost,revised_cost,expenditure_to_date,physical_progress_pct,milestones_planned,milestones_completed,delay_cause,status
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2025-04-01,821.19,829.43,151.3,3.81,16,1,Funding issue,Watch
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2025-05-01,821.19,833.55,181.19,7.44,16,1,Weather,Delayed
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2025-06-01,821.19,837.67,159.52,9.88,16,2,Material shortage,Delayed
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2025-07-01,821.19,841.79,191.28,14.16,16,2,Land acquisition,Watch
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2025-08-01,821.19,845.92,190.68,8.93,16,1,None,On Track
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2025-09-01,821.19,850.04,211.83,15.75,16,2,None,On Track
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2025-10-01,821.19,854.16,187.21,13.69,16,1,Land acquisition,Watch
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2025-11-01,821.19,858.28,248.28,23.28,16,2,Funding issue,Watch
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2025-12-01,821.19,862.4,306.05,27.64,16,3,None,On Track
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2026-01-01,821.19,866.52,321.37,27.06,16,4,None,On Track
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2026-02-01,821.19,870.65,404.7,31.63,16,5,None,On Track
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2026-03-01,821.19,874.77,395.18,32.56,16,6,Weather,Watch
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2026-04-01,821.19,878.89,359.79,31.95,16,4,Land acquisition,Delayed
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2026-05-01,821.19,883.01,486.97,45.07,16,8,None,On Track
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2026-06-01,821.19,887.13,527.57,47.36,16,8,Weather,Delayed
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2026-07-01,821.19,891.25,464.58,45.38,16,6,Land acquisition,Delayed
P0002,Power Infrastructure Project 2,Power,Ministry of Power,Agency Alpha,2025-03-01,2027-11-01,2026-08-01,821.19,895.38,541.65,48.14,16,9,None,On Track
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2024-07-01,4140.94,4176.82,702.81,3.0,21,0,None,On Track
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2024-08-01,4140.94,4212.69,632.05,3.0,21,0,Land acquisition,Watch
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2024-09-01,4140.94,4248.56,375.63,3.0,21,0,None,On Track
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2024-10-01,4140.94,4284.43,602.58,3.0,21,0,Administrative approval,Watch
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2024-11-01,4140.94,4320.3,1062.02,12.46,21,1,None,On Track
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2024-12-01,4140.94,4356.18,1164.93,14.28,21,3,Land acquisition,Watch
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2025-01-01,4140.94,4392.05,1088.78,14.7,21,3,Administrative approval,Watch
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2025-02-01,4140.94,4427.92,1437.41,18.4,21,1,Land acquisition,Watch
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2025-03-01,4140.94,4463.79,1658.49,24.93,21,4,None,On Track
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2025-04-01,4140.94,4499.67,1865.83,30.01,21,6,Funding issue,Delayed
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2025-05-01,4140.94,4535.54,1239.24,21.57,21,5,None,On Track
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2025-06-01,4140.94,4571.41,1908.9,34.07,21,4,Material shortage,Watch
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2025-07-01,4140.94,4607.28,1563.61,28.23,21,5,None,On Track
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2025-08-01,4140.94,4643.15,1994.56,34.37,21,6,None,On Track
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2025-09-01,4140.94,4679.03,1948.19,35.27,21,6,Administrative approval,Watch
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2025-10-01,4140.94,4714.9,2551.92,44.93,21,10,None,On Track
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2025-11-01,4140.94,4750.77,2980.25,51.45,21,9,None,On Track
P0003,Water Infrastructure Project 3,Water,Ministry of Jal Shakti,Agency Gamma,2024-07-01,2027-04-01,2025-12-01,4140.94,4786.64,2999.41,53.69,21,11,Funding issue,Watch
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2025-05-01,4166.22,4165.12,308.65,5.08,10,0,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2025-06-01,4166.22,4164.02,449.27,11.96,10,1,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2025-07-01,4166.22,4162.92,702.9,19.1,10,1,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2025-08-01,4166.22,4161.82,879.61,16.36,10,1,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2025-09-01,4166.22,4160.72,731.69,19.32,10,1,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2025-10-01,4166.22,4159.62,904.15,22.84,10,2,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2025-11-01,4166.22,4158.52,1292.25,28.58,10,2,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2025-12-01,4166.22,4157.42,1364.84,32.02,10,5,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2026-01-01,4166.22,4156.32,1651.78,33.97,10,2,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2026-02-01,4166.22,4155.22,1649.86,40.72,10,3,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2026-03-01,4166.22,4154.12,1978.93,45.84,10,4,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2026-04-01,4166.22,4153.02,1657.18,41.16,10,4,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2026-05-01,4166.22,4151.92,2218.01,51.15,10,7,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2026-06-01,4166.22,4150.82,2399.04,56.09,10,5,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2026-07-01,4166.22,4149.72,2642.01,62.07,10,6,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2026-08-01,4166.22,4148.62,2836.29,67.69,10,6,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2026-09-01,4166.22,4147.52,2932.74,67.3,10,7,None,On Track
P0004,Transport Infrastructure Project 4,Transport,Ministry of Road Transport,Agency Beta,2025-05-01,2027-08-01,2026-10-01,4166.22,4146.42,2937.39,72.85,10,6,None,On Track
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2025-06-01,1881.8,1895.09,174.0,3.0,28,2,Administrative approval,Watch
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2025-07-01,1881.8,1908.38,160.15,3.0,28,1,Administrative approval,Watch
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2025-08-01,1881.8,1921.66,366.29,5.99,28,1,Weather,Delayed
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2025-09-01,1881.8,1934.95,547.59,15.54,28,4,Land acquisition,Delayed
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2025-10-01,1881.8,1948.23,569.68,16.84,28,4,None,On Track
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2025-11-01,1881.8,1961.52,702.43,25.47,28,4,None,On Track
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2025-12-01,1881.8,1974.8,776.79,33.8,28,9,Funding issue,Delayed
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2026-01-01,1881.8,1988.09,936.34,38.9,28,12,Funding issue,Watch
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2026-02-01,1881.8,2001.37,966.82,37.77,28,11,None,On Track
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2026-03-01,1881.8,2014.66,1036.72,38.65,28,12,Land acquisition,Delayed
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2026-04-01,1881.8,2027.94,1156.82,45.86,28,13,None,On Track
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2026-05-01,1881.8,2041.23,1449.28,58.99,28,16,None,On Track
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2026-06-01,1881.8,2054.52,1271.81,53.16,28,15,Weather,Watch
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2026-07-01,1881.8,2067.8,1679.81,67.16,28,17,Funding issue,Watch
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2026-08-01,1881.8,2081.09,1587.0,65.67,28,19,Material shortage,Watch
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2026-09-01,1881.8,2094.37,1788.21,76.04,28,20,Weather,Watch
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2026-10-01,1881.8,2107.66,1891.61,83.57,28,21,Land acquisition,Watch
P0005,Railways Infrastructure Project 5,Railways,Ministry of Railways,Agency Beta,2025-06-01,2027-02-01,2026-11-01,1881.8,2120.94,1891.94,81.83,28,22,None,On Track
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2024-06-01,4896.13,4927.29,883.45,3.0,25,0,Material shortage,Delayed
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2024-07-01,4896.13,4958.44,598.49,4.9,25,0,None,On Track
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2024-08-01,4896.13,4989.6,746.91,3.0,25,2,Material shortage,Delayed
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2024-09-01,4896.13,5020.75,848.64,3.0,25,0,Weather,Watch
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2024-10-01,4896.13,5051.91,1005.85,13.21,25,2,None,On Track
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2024-11-01,4896.13,5083.06,1326.77,17.5,25,5,None,On Track
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2024-12-01,4896.13,5114.22,1228.55,18.7,25,4,Administrative approval,Watch
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2025-01-01,4896.13,5145.37,1633.66,25.99,25,4,Funding issue,Delayed
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2025-02-01,4896.13,5176.53,1732.07,22.33,25,6,Administrative approval,Delayed
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2025-03-01,4896.13,5207.68,2167.3,32.5,25,7,Material shortage,Watch
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2025-04-01,4896.13,5238.84,1707.23,26.08,25,4,Funding issue,Delayed
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2025-05-01,4896.13,5269.99,2117.77,34.55,25,9,None,On Track
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2025-06-01,4896.13,5301.15,2563.53,43.22,25,11,Administrative approval,Watch
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2025-07-01,4896.13,5332.3,2499.28,36.32,25,8,Administrative approval,Watch
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2025-08-01,4896.13,5363.46,2757.77,42.64,25,9,None,On Track
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2025-09-01,4896.13,5394.61,3180.01,51.88,25,12,Material shortage,Delayed
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2025-10-01,4896.13,5425.77,3280.33,54.32,25,13,Funding issue,Watch
P0006,Transport Infrastructure Project 6,Transport,Ministry of Road Transport,Agency Epsilon,2024-06-01,2026-11-01,2025-11-01,4896.13,5456.92,3903.86,58.38,25,16,Funding issue,Delayed
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2025-04-01,2276.52,2327.83,485.23,3.0,27,0,Material shortage,Delayed
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2025-05-01,2276.52,2379.15,553.86,3.0,27,0,Funding issue,Delayed
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2025-06-01,2276.52,2430.47,703.12,3.0,27,2,Land acquisition,Delayed
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2025-07-01,2276.52,2481.78,450.81,3.0,27,1,Administrative approval,Delayed
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2025-08-01,2276.52,2533.1,710.16,6.44,27,1,Land acquisition,Delayed
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2025-09-01,2276.52,2584.41,678.23,4.55,27,2,Weather,Watch
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2025-10-01,2276.52,2635.73,998.87,9.96,27,1,Administrative approval,Delayed
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2025-11-01,2276.52,2687.04,672.8,3.0,27,1,Material shortage,Delayed
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2025-12-01,2276.52,2738.36,858.72,19.58,27,4,Land acquisition,Watch
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2026-01-01,2276.52,2789.68,1311.55,19.13,27,4,Material shortage,Delayed
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2026-02-01,2276.52,2840.99,1021.19,13.39,27,2,Funding issue,Watch
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2026-03-01,2276.52,2892.31,731.87,14.08,27,4,Administrative approval,Delayed
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2026-04-01,2276.52,2943.62,1078.3,15.9,27,3,Material shortage,Delayed
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2026-05-01,2276.52,2994.94,1323.05,23.55,27,6,Funding issue,Watch
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2026-06-01,2276.52,3046.26,1691.04,27.61,27,7,Weather,Delayed
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2026-07-01,2276.52,3097.57,1914.45,42.86,27,9,Administrative approval,Delayed
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2026-08-01,2276.52,3148.89,2070.66,44.48,27,12,Material shortage,Delayed
P0007,Transport Infrastructure Project 7,Transport,Ministry of Road Transport,Agency Alpha,2025-04-01,2027-12-01,2026-09-01,2276.52,3200.2,1766.76,40.54,27,10,Land acquisition,Delayed
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2025-03-01,2824.4,2855.64,336.62,3.0,26,1,Funding issue,Watch
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2025-04-01,2824.4,2886.88,580.72,5.25,26,1,Land acquisition,Watch
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2025-05-01,2824.4,2918.12,625.9,14.2,26,3,Land acquisition,Delayed
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2025-06-01,2824.4,2949.36,835.55,18.08,26,2,Weather,Watch
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2025-07-01,2824.4,2980.6,769.25,11.84,26,3,None,On Track
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2025-08-01,2824.4,3011.84,806.51,16.87,26,4,Land acquisition,Watch
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2025-09-01,2824.4,3043.07,1066.97,24.71,26,7,None,On Track
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2025-10-01,2824.4,3074.31,1186.34,26.48,26,6,None,On Track
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2025-11-01,2824.4,3105.55,1376.4,34.02,26,9,None,On Track
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2025-12-01,2824.4,3136.79,1752.4,41.55,26,11,None,On Track
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2026-01-01,2824.4,3168.03,1709.05,45.25,26,13,Material shortage,Watch
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2026-02-01,2824.4,3199.27,2123.46,53.27,26,11,None,On Track
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2026-03-01,2824.4,3230.51,2142.76,53.73,26,13,Land acquisition,Watch
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2026-04-01,2824.4,3261.75,2247.92,56.46,26,17,Administrative approval,Watch
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2026-05-01,2824.4,3292.99,2536.97,62.66,26,16,Funding issue,Delayed
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2026-06-01,2824.4,3324.23,2448.74,66.65,26,18,None,On Track
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2026-07-01,2824.4,3355.47,3091.29,78.98,26,20,Administrative approval,Watch
P0008,Urban Development Infrastructure Project 8,Urban Development,Ministry of Housing and Urban Affairs,Agency Beta,2025-03-01,2026-12-01,2026-08-01,2824.4,3386.7,3064.44,78.65,26,22,Funding issue,Watch
P0009,Urban Development Infrastructure Project 9,Urban Development,Ministry of Housing and Urban Affairs,Agency Alpha,2025-03-01,2026-09-01,2025-03-01,1391.4,1414.86,306.04,3.0,28,0,Funding issue,Delayed
P0009,Urban Development Infrastructure Project 9,Urban Development,Ministry of Housing and Urban Affairs,Agency Alpha,2025-03-01,2026-09-01,2025-04-01,1391.4,1438.33,227.05,3.0,28,1,Funding issue,Delayed
P0009,Urban Development Infrastructure Project 9,Urban Development,Ministry of Housing and Urban Affairs,Agency Alpha,2025-03-01,2026-09-01,2025-05-01,1391.4,1461.79,234.38,3.0,28,2,Administrative approval,Delayed
P0009,Urban Development Infrastructure Project 9,Urban Development,Ministry of Housing and Urban Affairs,Agency Alpha,2025-03-01,2026-09-01,2025-06-01,1391.4,1485.26,235.6,3.0,28,1,Material shortage,Delayed
